bayesian.gf
0.356
0.316
0.272
0.254
0.346
0.27599999999999997
0.214
0.252
0.21799999999999997
0.25
0.28600000000000003
0.24200000000000002
0.302
0.292
0.256
0.26
0.20800000000000002
0.27399999999999997
0.21400000000000002
0.26
0.264
0.296
0.322
0.212
0.24599999999999997
0.288
0.26
0.304
0.312
0.31799999999999995
0.252
0.258
0.224
0.274
0.22
0.29800000000000004
0.27799999999999997
0.278
0.258
0.24
0.23000000000000004
0.284
0.27199999999999996
0.28
0.28600000000000003
0.28200000000000003
0.32199999999999995
0.266
0.282
0.28800000000000003
0.274
0.216
0.27
0.21400000000000002
0.282
0.22999999999999998
0.2
0.23600000000000002
0.31
0.234
0.256
0.294
0.204
0.242
0.28400000000000003
0.218
0.298
0.278
0.26999999999999996
0.28400000000000003
0.24200000000000002
0.288
0.282
0.24600000000000002
0.21
0.248
0.23600000000000002
0.16199999999999998
0.324
0.27
0.248
0.20800000000000002
0.22
0.214
0.28800000000000003
0.272
0.272
0.27799999999999997
0.236
0.162
0.27999999999999997
0.276
0.252
0.28800000000000003
0.18
0.248
0.198
0.21999999999999997
0.306
0.21600000000000003
